Rk,Squad,MP,W,L,GF,GA,GD,Pts,Top Team Scorer,Notes
1,Paris S-G,38,25,5,69,23,46,83,Zlatan Ibrahimović - 30,→ Champions League via league finish
2,Marseille,38,21,9,42,36,6,71,André-Pierre Gignac - 13,→ Champions League via league finish
3,Lyon,38,19,9,61,38,23,67,Bafétimbi Gomis - 16,→ Champions League via league finish
4,Nice,38,18,10,57,46,11,64,Darío Cvitanich - 19,→ Europa League via league finish
5,Saint-Étienne,38,16,7,60,32,28,63,Pierre-Emerick Aubameyang - 19,→ Europa League via cup win 1
6,Lille,38,16,8,59,40,19,62,Salomon Kalou - 14,
7,Bordeaux,38,13,9,40,34,6,55,"Yoan Gouffran, Cheick Diabaté... - 8",→ Europa League via cup win 2
8,Lorient,38,14,13,57,58,-1,53,Jérémie Aliadière - 15,
9,Montpellier,38,15,16,54,51,3,52,"Souleymane Camara, Younès Belhanda - 10",
10,Toulouse,38,13,13,49,47,2,51,Wissam Ben Yedder - 15,
11,Valenciennes,38,12,14,49,53,-4,48,Grégory Pujol - 8,
12,Bastia,38,13,17,50,66,-16,47,Anthony Modeste - 15,
13,Rennes,38,13,18,48,59,-11,46,Julien Féret - 11,
14,Reims,38,10,15,33,42,-9,43,Gaëtan Courtet - 9,
15,Sochaux,38,10,17,41,57,-16,41,Sloan Privat - 9,
16,Evian,38,10,18,46,53,-7,40,Saber Khalifa - 13,
17,Ajaccio,38,9,14,39,51,-12,40,Adrian Mutu - 11,2-point deduction 3
18,Nancy,38,9,18,38,58,-20,38,Sébastien Puygrenier - 7,Relegated
19,Troyes,38,8,17,43,61,-18,37,Benjamin Nivet - 10,Relegated
20,Brest,38,8,25,32,62,-30,29,Eden Ben Basat - 9,Relegated
