Rk,Squad,MP,W,L,GF,GA,GD,Pts,Top Team Scorer,Notes
1,Paris S-G,38,29,5,105,35,70,91,Kylian Mbappé - 33,→ Champions League via league finish
2,Lille,38,22,7,68,33,35,75,Nicolas Pépé - 22,→ Champions League via league finish
3,Lyon,38,21,8,70,47,23,72,Moussa Dembélé - 15,→ Champions League via league finish
4,Saint-Étienne,38,19,10,59,41,18,66,Wahbi Khazri - 13,→ Europa League via league finish
5,Marseille,38,18,13,60,52,8,61,Florian Thauvin - 16,
6,Montpellier,38,15,9,53,42,11,59,Andy Delort - 14,
7,Nice,38,15,12,30,35,-5,56,"Allan Saint-Maximin, Youcef Atal - 6",
8,Reims,38,13,9,39,42,-3,55,Remi Oudin - 10,
9,Nîmes,38,15,15,57,58,-1,53,"Denis Bouanga, Renaud Ripart - 8",
10,Rennes,38,13,12,55,52,3,52,M'Baye Niang - 11,→ Europa League via cup win 1
11,Strasbourg,38,11,11,58,48,10,49,"Ludovic Ajorque, Lebo Mothiba - 9",→ Europa League via cup win 2
12,Nantes,38,13,16,48,48,0,48,Emiliano Sala - 12,
13,Angers,38,10,12,44,49,-5,46,Stéphane Bahoken - 11,
14,Bordeaux,38,10,17,34,42,-8,41,François Kamano - 10,
15,Amiens,38,9,18,31,52,-21,38,Moussa Konaté - 7,
16,Toulouse,38,8,16,35,57,-22,38,Max Gradel - 11,
17,Monaco,38,8,18,38,57,-19,36,Radamel Falcao - 15,
18,Dijon,38,9,22,31,60,-29,34,Júlio Tavares - 5,→ French 1/2 Relegation/Promotion Playoffs
19,Caen,38,7,19,29,54,-25,33,"Enzo Crivelli, Casimir Ninga - 6",Relegated
20,Guingamp,38,5,21,28,68,-40,27,Marcus Thuram - 9,Relegated
