Rk,Squad,MP,W,L,GF,GA,GD,Pts,Top Team Scorer,Notes
1,Montpellier,38,25,6,68,34,34,82,Olivier Giroud - 21,→ Champions League via league finish
2,Paris S-G,38,23,5,75,41,34,79,Nenê - 21,→ Champions League via league finish
3,Lille,38,21,6,72,39,33,74,Eden Hazard - 20,→ Champions League via league finish
4,Lyon,38,19,12,64,51,13,64,Lisandro López - 16,→ Europa League via cup win 1
5,Bordeaux,38,16,9,53,41,12,61,Yoan Gouffran - 14,→ Europa League via league finish
6,Rennes,38,17,12,53,44,9,60,Jirès Kembo Ekoko - 10,
7,Saint-Étienne,38,16,13,49,45,4,57,Pierre-Emerick Aubameyang - 16,
8,Toulouse,38,15,12,37,34,3,56,"Emmanuel Rivière, Umut Bulut - 5",
9,Evian,38,13,14,54,55,-1,50,Yannick Sagbo - 10,
10,Marseille,38,12,14,45,41,4,48,Loïc Rémy - 12,→ Europa League via cup win 2
11,Nancy,38,11,15,38,48,-10,45,Daniel Niculae - 6,
12,Valenciennes,38,12,19,40,50,-10,43,"Renaud Cohade, Gaël Danic - 7",
13,Nice,38,10,16,39,46,-7,42,"Fabián Monzón, Anthony Mounier - 8",
14,Sochaux,38,11,18,40,60,-20,42,Modibo Maïga - 9,
15,Brest,38,8,13,31,38,-7,41,Bruno Grougi - 9,
16,Ajaccio,38,9,15,40,61,-21,41,Ilan - 6,
17,Lorient,38,9,17,35,49,-14,39,Kévin Monnet-Paquet - 6,
18,Caen,38,9,18,39,59,-20,38,Benjamin Nivet - 7,Relegated
19,Dijon,38,9,20,38,63,-25,36,Brice Jovial - 9,Relegated
20,Auxerre,38,7,18,46,57,-11,34,Dennis Oliech - 10,Relegated
